location_id,location_name,location_district,facility_code,facility_name
843,Kachere Private Clinic,Lilongwe,LL040483,Kachere Private Clinic
1013,Kadango Dispensary (Mangochi),Mangochi,MG200488,Kadango Dispensary (Mangochi)
202,Kafukule Health Centre,Mzimba North,MZ160493,Kafukule Health Centre
205,Kalemba Health Centre,Nsanje,NS300496,Kalemba Health Centre
206,Kalembo Dispensary,Balaka,BK170497,Kalembo Dispensary
1047,Kalikeni Private Clinic (Kasungu),Kasungu,KU070498,Kalikeni Private Clinic (Kasungu)
207,Kalikumbi Health Centre,Mzimba South,MZ160499,Kalikumbi Health Centre
886,Kalimanjira Health Centre,Ntcheu,NT120500,Kalimanjira Health Centre
208,Kalinde Dispensary,Phalombe,PH220502,Kalinde Dispensary
978,Kalinde Health Centre (Phalombe),Phalombe,,Kalinde Health Centre (Phalombe)
209,Kaloga Dispensary,Ntcheu,NT120505,Kaloga Dispensary
1061,Kameza Macro,Blantyre,BT240756,Kameza Macro
215,Kampanje Maternity,Ntcheu,NT120521,Kampanje Maternity
216,Kamphata Dispensary,Nsanje,NS300522,Kamphata Dispensary
218,Kamteteka Health Centre,Mzimba South,MZ160526,Kamteteka Health Centre
219,Kamuzu Barracks Dispensary,Lilongwe,LL040528,Kamuzu Barracks Dispensary
696,Kamuzu Central Hospital,City,LL040529,Kamuzu Central Hospital
220,Kamwe Health Centre,Mzimba North,MZ160530,Kamwe Health Centre
222,Kandeu Health Centre (Dispensary),Ntcheu,NT120534,Kandeu Health Centre (Dispensary)
846,Kanengo Tobacco Processors Clinic,Lilongwe,LL040535,Kanengo Tobacco Processors Clinic
948,Kanjedza Police Clinic,Blantyre,BT240540,Kanjedza Police Clinic
1036,Kansonga Health Centre (Ntchisi),Ntchisi,,Kansonga Health Centre (Ntchisi)
228,Kanyimbi Dispensary,Nsanje,NS300548,Kanyimbi Dispensary
1068,Kaongizi Health Centre,KOZ,NK101536,Kaongizi Health Centre
236,Kapichila (ESCOM) Health Centre,Kasungu,KU071925,Kapichila (ESCOM) Health Centre
904,Kapichira ESCOM Clinic,Chikwawa,CK270561,Kapichira ESCOM Clinic
1010,Kapire Dream Centre (Mangochi),Machinga,MG200563,Kapire Dream Centre (Mangochi)
239,Kapiri Health Centre,Nkhotakota,NK100562,Kapiri Health Centre
804,Karonga Banja La Mtsongolo Dispensary,Karonga,KA150569,Karonga Banja La Mtsongolo Dispensary
241,Karonga District Health Office,Karonga,KA150570,Karonga District Health Office
243,Karonga Health Area,Karonga,,Karonga Health Area
244,Karonga Health District,Karonga,KA151248,Karonga Health District
795,Karonga Prevention Study,Lilongwe,,Karonga Prevention Study
1033,Kasese Health Centre (Dowa),Dowa,DA021755,Kasese Health Centre (Dowa)
246,Kaseye St Michaels Health Centre,Chitipa,CP060579,Kaseye St Michaels Health Centre
250,Kasitu Dispensary,Nkhotakota,NK100583,Kasitu Dispensary
252,Kasiya Health Centre,Lilongwe,,Kasiya Health Centre
253,Kasungu District Health Office,Kasungu,KU070588,Kasungu District Health Office
255,Kasungu Health Area,Kasungu,,Kasungu Health Area
256,Kasungu Health District,Kasungu,,Kasungu Health District
1024,Katawa Health Centre (Salima),Salima,SA090592,Katawa Health Centre (Salima)
258,Katete Rural Hospital,Mzimba South,MZ160596,Katete Rural Hospital
833,Katimbira Health Centre,Nkhota-kota,NK100597,Katimbira Health Centre
1090,Katoto DIC,Mzimba East,MZ161812,Katoto DIC
1075,Kavuzi Cumnoc,Nkhata-bay,KB050608,Kavuzi Cumnoc
806,Kavuzi Health Centre,Nkhata Bay,KB050606,Kavuzi Health Centre
264,Kawale Banja La Mtsogolo Dispensary,Lilongwe,LL040095,Kawale Banja La Mtsogolo Dispensary
265,Kawale Urban Health Centre,Lilongwe,LL040610,Kawale Urban Health Centre
826,Kaweche Health Centre,Mzimba North,MZ160613,Kaweche Health Centre
267,Kawinga Health Centre (Machinga),Machinga,MC190614,Kawinga Health Centre (Machinga)
1116,Kazyozyo Health Centre,Mchinji,MC010618,Kazyozyo Health Centre
269,Kazyozyo Maternity,Mchinji,,Kazyozyo Maternity
270,Khasu Health Centre,,,Khasu Health Centre
273,Khondowe Health Centre,Nkhata Bay,KB050627,Khondowe Health Centre
276,Khosolo Health Centre,Mzimba South,MZ160632,Khosolo Health Centre
823,Khuyukuyu Health Centre,Mzimba North,MZ161205,Khuyukuyu Health Centre
278,Koche Health Centre,Mangochi,MG200636,Koche Health Centre
966,Kukalanga Health Centre,Mangochi,MG200642,Kukalanga Health Centre
934,Lafarge Cement Clinic (Blantyre),Blantyre,BT240651,Lafarge Cement Clinic (Blantyre)
287,Lengwe Dispensary,Chikwawa,CK270656,Lengwe Dispensary
910,Lengwe Health Centre,Chikwawa,CK271384,Lengwe Health Centre
1027,Life Line Salima Health Centre,Salima,SA090660,Life Line Salima Health Centre
1001,Lifune Dispensary (Machinga),Machinga,MC190661,Lifune Dispensary (Machinga)
701,Lighthouse,Lilongwe,LL040664,Lighthouse
702,Lighthouse HTC,Lilongwe,,Lighthouse HTC
290,Likoma District Health Office,Likoma,,Likoma District Health Office
291,Likoma Health Area,Likoma,,Likoma Health Area
292,Likoma Health District,Likoma,,Likoma Health District
293,Likuni Hospital,Lilongwe,LL040671,Likuni Hospital
294,Lilongwe Bottom Hospital,Lilongwe,LL040122,Lilongwe Bottom Hospital
295,Lilongwe Central Hospital,Lilongwe,,Lilongwe Central Hospital
860,Lilongwe City Assembly (Chinsapo),Lilongwe,LL040672,Lilongwe City Assembly (Chinsapo)
297,Lilongwe Health Area,Lilongwe,,Lilongwe Health Area
870,Lilongwe Health Clinic,Lilongwe,LL040675,Lilongwe Health Clinic
298,Lilongwe Health District,Lilongwe,,Lilongwe Health District
