Facility Name,EMR_Facility_ID,OrgUnit ID
Maere Health Centre,NA,mmyOCoj42DP
Mafco Health Centre,335,ael27YuIvji
Mafisi clinic,NA,N2OEuMkn2z4
Maganga Health Centre,336,NPgTh8ar7Rg
Magareta Health Centre,337,NFqFeBSH2Re
Magomero Health Centre,338,MfSWVpArbHS
Mahowe Health Centre,NA,TkKOmywmjVx
Majete 2 (Hunger)Health Centre,906,Tqy9Hzt0HYy
Majete-3 (Hunger)Health Centre,906,vZcq1BL4eig
Majete1 (Hunger) Health Centre,906,HHK489bchmI
Makadam Pvt Clinic,NA,jpKor9OWp56
Makanjira Health Centre,339,ogCJRAEA06f
Makapwa Health Centre,340,a6SFNf7F567
Makata Health Centre,341,eZfOjVQcd0e
Makhanga Health Centre,342,TRDY52stPkd
Makhetha Dispensary,NA,tCNxro4FiTA
Makhwira Health Centre,343,fmm167XcK2T
Makiyoni Health Centre,344,H37Fo6H2Roi
Makungwa Health Centre(Bvumbwe),35,q3B88KiRZ72
Makwapala Health Centre,345,ctDR10R37Rw
Makwasa Estate Clinic,919,joh9QZI3a96
Malabada Health Centre,951,SsBkD3XDOD7
Malambo Health Centre,NA,kcEdNoW9QOb
Malamulo Day Clinic,958,MFvBkN5jzRF
Malamulo Hospital,346,UKeSrLQeuCm
Malawi Army Marine Camp Hospital,NA,Q7j0Yk4fDmo
Maldeco Fisheries Clinic,NA,fCSQlctoCLr
Malembo Health Centre,349,UKbySUaELNM
Malembo Health Centre (Lilongwe),350,tOaGG2xPLDm
Malidadi Health Centre,351,BvmZAEbFgHw
Malingunde Health Centre,352,lP4THWArWA7
Malmed Private Clinic,947,obDGwQJFj5d
Malombe Dispensary,354,n9kEwAvGSIu
Malomo Health Centre,355,mxfexio2lQ4
Malowa Health Centre,NA,rKEqKuoGeKQ
Malukula Health Centre,NA,dOgr5wPfLaq
Maluwa Health Centre,356,LL3TLeE40xi
Mama Khadija Private ClinicNamwera,NA,xdPgIAQLQ6L
Mangamba Health Centre,357,zt2Jzw6wUcc
Mangochi District Hospital,359,vGbcjNT1TSJ
Mangulenje Health Centre,901,GPslmIQyIyJ
Mangunda Health Centre,362,jkGTBAmFE1b
Manjawira Health Centre,363,FPDJqyOOb4I
Manolo Health Center,821,YpAyWUsXP6l
Manyamula Health Centre,364,nDmSqHjGoHc
Maonde Health Centre,365,YK6aK071R8v
Mapanga Health Center,366,XrE6S137IUq
Maperera Health Centre,367,NlBOlQkhfk5
Mapeto DWS Clinic,NA,ACgUJlruIQT
Maravi Health Centre,NA,Ljx0uViQtRg
Mars Clinic,NA,z5QhXToeTgs
Masasa Health Centre,368,oAX2IuKUC7A
Mase Health Centre,369,c8uCPvKeeEM
Masenjere Health Centre,370,hj7sZWYuxTM
Masm Area 43,841,tqyiGsEE1FJ
