OrgUnit ID,OrgUnit Name
a8NnsOmXWK7,Kalulu Health Centre
sXL607jX6A9,Kalulu Illovo Clinic
BOEaJ4eqVC9,Kaluluma Rural Hospital
UzxhcPn4QZG,Kambenje Health Centre
cez54P9k6OJ,Kamboni Health Centre
gil9su99LXX,Kameme Health Centre
uh5ltc6TZm9,Kamforzi Dispensary
AzbGHKq4K1A,Kampanje Maternity
DzmTX22yCZc,Kamphata Dispensary
m9IaQF4jaPL,Kamsonga Health Centre
QM6V7PDrfLM,Kamteteka Health Centre
wKP5w5OcIFj,Kamuzu Academy Clinic
P6q5ZIrXGAM,Kamuzu Barracks Dispensary
ncumVqRrCMN,Kamwe Health Centre
zA0iPC953jV,Kande Health Centre
QIjZYskL19K,Kandeu Health Centre
PKEeM8l1Sym,Kanengo Tobacco Processors Clinic 
o1ZjuUmv5aQ,Kang'Oma Health Centre
OZNe80Ws0on,Kangolwa Health Centre
HmTVrgdnucu,Kankao Health Centre
UwBTf92fAib,Kanyama Health Centre
U6sLs3tOzpC,Kanyezi Health Centre
AbJbZQt4UJs,Kanyimbi Dispensary
Qw8SEqwTxHk,Kaombe Dispensary
eK4PmFIrpY5,Kaongozi Dispensary
H2ErYfEdioK,Kapanga Health Centre
dy2GeuSwyIq,Kapelula Health Centre
NItIjAcYO8y,Kapenda Health Centre
NvxhlNwKlXK,Kapeni Dream Centre 
D9w3urb7GKR,Kapeni Health Centre
yM9bkHicOua,Kaphatenga Health Centre
wGMlG6WZZ4q,Kaphuka Health Centre
xYv4hTyV9mX,Kapichila (ESCOM) Health Centre
L05pebPpoWP,Kapichira Escom Clinic
TZ4Ea3gK3yA,Kapire Dream Centre 
bOzeauFIWQA,Kapire Health Centre
sQnNX5Nbvu7,Kapiri Health Centre (Nkhotakota)
ekYnKIXnPPj,Kapiri Mission Hospital
mqNSnMB7fgW,Kaporo Rural Hospital
D7QhLNJChdq,Kapyanga Health Centre
tjHJZDgKu6q,Karonga District Hospital
TrYObnlA8UT,Kasalika Dispensary
nWuBchw9R6C,kasembereka Health Centre
JX6hyvnBrlF,Kasese Health centre
mTqGek9GBbM,Kaseye Mission Hospital
PCWfXe1C9hK,Kasina Health Centre
kW3Ro43YXwB,Kasinje Health Centre
QBRXRxcbT0a,Kasinthula Dispensary
qX2CrzT4TL1,Kasitu Dispensary
VDMYQuQPz2N,Kasoba Health Centre
wNoaGHOI6Zl,Kasungu District Hospital
vvgvKSNrelJ,Katawa Health Centre
SUO29yrjbH4,Katchale Health Centre
gNaXoVYpN1v,Katema Health Centre
YABJoiuXQMB,Katete Rural Hospital
nrK4dEVDNdL,Katili Dispensary
Fz0tDlXVsn3,Katimbila Health Centre
TgIZdG9r95r,Katowo Rural Hospital
Mby0tOuLfvm,Katsekera Health Centre
fA8higAcbmz,Katuli Health Centre
H0sBidyA6PK,Kaundu Health Centre
g7LNUVG1pQA,Kavuzi Health Centre
UT6ad8gmKjC,Kawalazi Plantation Clinic
SnfOrypiyQj,Kawale Banja La Mtsogolo Dispensary
